class,precision,recall,f1-score,support
Normal,0.961038961038961,1.0,0.9801324503311258,74.0
Astrocitoma,0.9583333333333334,0.9452054794520548,0.9517241379310345,73.0
Carcinoma,1.0,1.0,1.0,29.0
Ependimoma,1.0,0.9444444444444444,0.9714285714285714,18.0
Ganglioglioma,1.0,1.0,1.0,7.0
Germinoma,1.0,1.0,1.0,10.0
Glioblastoma,1.0,1.0,1.0,23.0
Granuloma,0.8571428571428571,1.0,0.9230769230769231,12.0
Meduloblastoma,0.8823529411764706,1.0,0.9375,15.0
Meningioma,0.9916666666666667,0.9834710743801653,0.9875518672199171,121.0
Neurocitoma,0.9523809523809523,0.9836065573770492,0.967741935483871,61.0
Oligodendroglioma,1.0,0.96875,0.9841269841269841,32.0
Papiloma,1.0,0.8125,0.896551724137931,32.0
Schwannoma,0.967741935483871,0.9836065573770492,0.975609756097561,61.0
Tuberculoma,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
macro avg,0.96745560785409,0.9708507055746,0.967774721361477,585.0
weighted avg,0.9721630558632456,0.9709401709401709,0.9706850402404458,585.0
accuracy,0.9709401709401709,,,585.0
