phase,epoch,train_loss,val_acc,val_f1
head,1,2.6282303700080285,0.2478448275862069,0.19402940282309986
head,2,2.267039097272433,0.3135775862068966,0.28097361435382123
head,3,2.1271691964222836,0.41271551724137934,0.37103195491660673
head,4,2.107471947486584,0.41163793103448276,0.3823443682582099
head,5,2.0249154017521787,0.44612068965517243,0.3965698680421512
head,6,1.922432555602147,0.45689655172413796,0.4267215426898017
head,7,1.9770385806377118,0.4709051724137931,0.4365231342842074
head,8,1.9037867326002855,0.46336206896551724,0.43092695929722963
ft,1,1.9196030405851512,0.5010775862068966,0.4838990182276362
ft,2,1.6307885830218976,0.6142241379310345,0.5935382040666829
ft,3,1.361893002803509,0.6831896551724138,0.6615033195552388
ft,4,1.2576773189581358,0.7004310344827587,0.6632765099004382
ft,5,1.3380447717813344,0.7338362068965517,0.7056646936433515
ft,6,1.0846193707906282,0.759698275862069,0.7348081214090009
ft,7,1.0811419716248145,0.7683189655172413,0.7457987727288449
ft,8,1.017415674833151,0.759698275862069,0.7292370180192684
ft,9,1.042408211873128,0.8114224137931034,0.7909942422265152
ft,10,0.9678671841438,0.7995689655172413,0.7644580629880606
ft,11,1.1862143988792713,0.7931034482758621,0.7710851821953069
ft,12,0.8641822406878839,0.7834051724137931,0.7612753440333939
ft,13,0.9407325983047485,0.8049568965517241,0.786959455861793
ft,14,0.8473728998349264,0.8103448275862069,0.7963401534946877
ft,15,1.1115543349431112,0.802801724137931,0.7844042842023793
ft,16,0.9896861074062494,0.8103448275862069,0.790222682350102
ft,17,1.0082139051877534,0.8135775862068966,0.7900975599713924
ft,18,0.8385864381606762,0.8243534482758621,0.8087412030486579
ft,19,1.017080423923639,0.8135775862068966,0.7939331461615818
ft,20,0.8017856467228669,0.8178879310344828,0.7944977689627986
ft,21,0.860611148751699,0.8286637931034483,0.8147116839130084
ft,22,0.8997466804889532,0.8135775862068966,0.796573002689031
ft,23,0.8659314398582165,0.8308189655172413,0.8097036339864476
ft,24,0.8338567156058091,0.8189655172413793,0.7972938779374449
ft,25,0.6652449186031635,0.8318965517241379,0.8159666737155147
